▽8時11分　公邸発、12分官邸着
▽8時19分～8時28分　閣議
▽8時46分　官邸発、48分国会着
▽8時50分　参院第1委員会室へ
▽8時55分　参院予算委開会
▽12時11分　参院予算委休憩
▽12時12分～12時13分　自見英子自民党参院議員
▽12時14分　国会発、16分官邸着
▽12時52分　官邸発、54分国会着
▽12時56分　参院第1委員会室へ
▽13時00分　参院予算委再開
▽15時15分　参院予算委休憩
▽15時23分～15時24分　茂木敏充外相、片山さつき財務相
▽15時25分　参院予算委再開
▽15時59分　参院予算委散会
▽16時02分　国会発、04分官邸着
▽16時28分　官邸発、30分国会着
▽16時31分　参院議長応接室へ
▽16時37分　参院本会議場へ
▽16時41分　参院本会議開会
▽17時48分　参院本会議を途中退席
▽17時49分　参院議長応接室へ
▽17時52分～18時12分　参院の関口昌一、福山哲郎正副議長、青木一彦議院運営委員長、与野党各会派にあいさつ回り（片山財務相、木原稔、佐藤啓正副官房長官、磯崎仁彦自民党参院国対委員長、柴田巧日本維新の会参院国対委員長ら同行）
▽18時14分　国会発、16分官邸着
▽18時58分～19時20分　報道各社インタビュー
▽19時22分　官邸発、28分ホテルニューオータニ着
▽19時28分～19時42分　同ホテル内宴会場「LAPIS L」で自民党秘書と懇談
▽19時42分　同所発、52分日比谷松本楼着
▽19時52分～20時00分　自民党「保守団結の会」の高鳥修一共同代表らと懇談
▽20時00分　同所発、07分官邸着
▽21時00分～21時27分　アラブ首長国連邦（UAE）のムハンマド大統領と電話会談
▽21時33分　官邸発、34分公邸着
▽22時05分現在　公邸
